root_string,family,fret_modifier,notes
6,Major,0,0|2|2|1|0|0
4,Major,0,X|X|0|2|3|2
5,Major,-3,X|3|2|0|1|0
5,Major,0,X|0|2|2|2|0
6,Major,-3,3|2|0|0|0|3
4,Major,-2,X|X|2|1|0|0
2,Major,-1,X|X|2|0|1|0
4,Major,0,2|X|0|2|3|X
6,Major,-3,3|2|0|0|0|X
6,Minor,0,0|2|2|0|0|0
4,Minor,0,X|X|0|2|3|1
5,Minor,-3,X|3|1|0|1|X
5,Minor,0,X|0|2|2|1|0
3,Minor,-1,X|2|1|1|0|X
2,Minor,-2,X|X|2|1|2|0
6,Minor 7,0,0|2|0|0|0|0
4,Minor 7,0,X|X|0|2|1|1
5,Minor 7,-2,X|2|0|2|0|X
5,Minor 7,0,X|0|2|0|1|0
6,Minor 7,-3,X|1|3|0|3|X
6,Major 7th,0,0|2|1|1|0|0
4,Major 7th,0,X|X|0|2|2|2
5,Major 7th,-3,X|3|2|0|0|0
5,Major 7th,0,X|0|2|1|2|0
3,Major 7th,0,X|X|0|0|0|2
6,Major 7th,0,0|X|1|1|0|X
4,7th,0,X|X|0|2|1|2
5,7th,-2,X|2|1|2|0|X
2,7th,0,X|X|1|2|0|2
5,7th,0,X|0|2|2|2|3
5,7th,0,X|0|2|0|2|0
3,7th,0,X|X|0|0|0|1
1,7th,0,X|X|0|1|0|0
4,7th,-2,X|X|2|1|3|0
5,9th,-1,X|1|0|1|1|1
4,9th,-1,X|X|1|0|2|1
6,9th,0,0|2|0|1|0|2
6,9th,-3,3|X|3|2|0|X
6,9th,-1,1|0|1|0|1|X
4,Major 9th,0,X|X|0|2|2|0
5,Major 9th,0,X|1|0|2|1|X
5,Major 9th,0,X|0|2|1|0|0
6,Major 9th,-1,1|0|2|0|1|0
4,Major 9th,-1,X|X|1|0|3|1
5,13th,-1,X|1|0|1|1|3
6,13th,0,0|X|0|1|2|2
1,13th,0,X|X|0|1|2|0
3,13th,0,X|X|3|0|0|0
5,6,-2,X|2|1|1|0|X
5,6,0,X|0|2|2|2|2
5,6,-1,X|1|3|0|3|X
3,6,0,X|X|0|0|0|0
6,6,-1,1|X|0|2|1|X
4,6,-2,X|X|2|1|2|0
4,6,-1,X|1|1|0|1|X
4,6,0,X|X|0|2|0|2
5,6/9,-1,X|1|0|0|1|1
6,6/9,-1,1|0|0|0|1|1
4,6/9,-1,X|X|1|0|1|1
6,Major 13th,-1,1|0|0|0|1|0
6,Major 13th,-1,1|0|2|0|3|0
6,Major 13th,0,0|X|1|1|2|2
5,Major 13th,0,X|0|2|1|2|2
6,Major 13th,0,0|2|1|1|2|X
4,Major 13th,-3,X|X|3|2|3|0
5,Major 9 #11,-1,X|1|0|2|1|0
5,Major 9 #11,0,X|0|2|4|4|4
6,Major 9 #11,-1,1|0|2|0|0|0
5,Major 7+,-3,X|3|2|1|0|0
5,Major 7+,0,X|0|X|1|2|1
5,Major 7+,0,X|0|3|1|2|X
3,Major 7+,0,X|X|1|0|0|2
4,Major 7+,-3,X|X|3|2|2|0
6,Major 7+,0,0|X|1|1|1|X
5,Major 7b5,0,X|0|1|1|2|X
4,Major 7b5,-3,X|X|3|2|0|0
6,Major 7b5,-1,1|X|2|2|0|X
4,Major 7b5,0,X|X|0|1|2|2
5,Add 9,-3,X|3|2|0|3|0
5,Add 9,-3,X|3|2|0|3|3
5,Add 9,0,X|0|2|4|2|0
4,Add 9,-2,X|X|2|1|0|2
6,Add 9,0,0|2|4|1|0|0
5,Minor 6,-2,X|2|0|1|0|2
6,Minor 6,-1,1|X|0|1|1|X
3,Minor 6,-1,X|X|1|1|0|1
6,Minor 6,0,0|2|2|0|2|0
4,Minor 6,0,X|X|0|2|0|1
5,Minor (Major 7),-3,X|3|1|0|0|3
5,Minor (Major 7),0,X|0|2|1|1|0
6,Minor (Major 7),0,0|X|1|0|0|X
5,Minor (Major 7),0,X|0|2|1|1|X
4,Minor (Major 7),0,X|X|0|2|2|1
5,Minor (Major 7),-3,X|3|1|0|0|X
6,Minor 9,0,0|2|0|0|0|2
5,Minor 9,-2,X|2|0|2|2|2
6,Minor 9,-2,2|0|2|1|X|X
4,Minor 9,-2,X|X|2|0|3|2
5,Minor (Major 9),-2,X|2|0|3|2|X
6,Minor (Major 9),-2,2|0|3|1|X|X
6,Minor (Major 9),0,0|2|1|0|0|2
5,Minor 6/9,-2,X|2|0|1|2|X
6,Minor 6/9,-2,2|0|1|1|X|X
4,Minor 6/9,-2,X|X|2|0|2|2
6,Minor 6/9,0,0|2|2|0|2|2
5,Minor 11,0,X|0|0|0|1|0
4,Minor 11,-4,X|X|4|2|0|0
6,Minor 11,-2,2|X|2|2|0|X
6,Minor 11,0,0|0|0|0|0|2
5,Minor add 9,0,X|0|2|4|1|0
6,Minor add 9,0,0|2|4|0|0|0
6,Minor add 9,0,0|2|2|0|0|2
5,7 Flat 9,-1,X|1|0|1|0|X
5,7 Flat 9,-1,X|1|0|1|0|1
6,7 Flat 9,-2,2|1|2|0|X|X
4,7 Flat 9,-1,X|X|1|0|2|0
5,7 #9,-1,X|1|0|1|2|X
6,7 #9,-1,1|0|1|1|1|X
6,7 #9,0,0|2|0|1|0|3
4,7 #9,-1,X|X|1|0|2|2
5,13 Flat 9,-1,X|1|0|1|0|3
6,13 Flat 9,0,0|X|0|1|2|1
5,7 +,0,X|0|X|0|2|1
5,7 +,0,X|0|3|0|2|X
1,7 +,0,X|X|0|1|1|0
6,7 +,0,0|X|0|1|1|X
4,7 +,0,X|X|0|3|1|2
5,7 Flat 5,0,X|0|1|0|2|X
3,7 Flat 5,-1,X|X|0|1|1|2
6,7 Flat 5,-1,1|X|1|2|0|X
6,7 Flat 5,0,0|1|0|1|X|X
4,7 Flat 5,0,X|X|0|1|1|2
5,7 Flat 9 Sharp 5,-1,X|1|0|1|0|2
6,7 Flat 9 Sharp 5,-1,1|0|1|2|2|2
5,7 #9 #5,-1,X|1|0|1|2|2
6,7 #9 #5,-1,1|0|1|1|2|X
5,9 #11,-1,X|1|0|1|1|0
6,9 #11,-1,1|0|1|0|0|X
5,9 +,-1,X|1|0|1|1|2
6,9 +,0,0|X|0|1|1|2
5,7 Sus 4,-2,X|2|2|2|0|X
5,7 Sus 4,0,X|0|2|0|3|0
3,7 Sus 4,0,X|X|0|0|1|1
6,7 Sus 4,0,0|2|0|2|0|0
4,7 Sus 4,0,X|X|0|2|1|3
5,9 Sus 4,-2,X|2|X|2|2|0
5,9 Sus 4,0,X|0|0|0|0|0
6,9 Sus 4,-2,2|X|2|1|0|X
4,9 Sus 4,0,X|X|0|0|1|0
5,13 sus 4,0,X|0|2|0|3|2
6,13 sus 4,0,0|2|0|2|2|0
5,Diminished,0,X|0|1|2|1|X
6,Diminished,0,0|1|2|0|X|X
2,Diminished,-2,X|X|2|0|2|0
5,Minor 7 Flat 5,-1,X|1|X|1|2|0
5,Minor 7 Flat 5,0,X|0|1|0|1|X
6,Minor 7 Flat 5,-1,1|X|1|1|0|X
6,Minor 7 Flat 5,0,0|1|2|0|2|0
4,Minor 7 Flat 5,0,X|X|0|1|1|1
5,Diminished 7,-1,X|1|2|0|2|1
5,Diminished 7,-1,X|1|2|0|2|X
3,Diminished 7,-1,X|X|0|1|0|1
1,Diminished 7,-1,X|X|0|1|0|1
6,Diminished 7,-1,1|X|0|1|0|X
6,Diminished 7,0,0|1|2|0|2|0
5,Augmented,-2,X|2|1|0|0|X
6,Augmented,-3,3|2|1|0|0|X
4,Augmented,-2,X|X|2|1|1|0
5,Sus 4,0,X|0|2|2|3|0
3,Sus 4,0,X|X|0|0|1|3
6,Sus 4,0,0|2|2|2|0|0
4,Sus 4,0,X|X|0|2|3|3
5,Sus 2,0,X|0|2|2|0|0
6,Sus 2,-3,3|0|0|0|X|X
4,Sus 2,0,X|X|0|2|3|0
